,word,OA_frequency,NOA_frequency,oa_noa,expected_oa,expected_noa,chi_square,p_value,depletion_rate
0,pheophytins,0,3,3,1.3422951944948018,1.6577048055051984,2.4291934065167777,0.1190941641663218,0.0
1,zellweger,4,4,8,3.579453851986138,4.420546148013862,0.0894179295041845,0.7649184458625924,1.1174889146232498
2,erythematosus,432,604,1036,463.53927383220486,572.4607261677952,3.8835678918021337,0.04876083140040141,0.9319598670217064
3,aminotransferases,177,227,404,180.76241952529998,223.23758047470005,0.14172300478036687,0.706574085329188,0.9791858311302734
4,deae-dextran,0,1,1,0.44743173149826726,0.5525682685017328,0.8097311355055925,0.36819975249716796,0.0
5,horns,8,9,17,7.606339435470543,9.393660564529458,0.03687076751346937,0.8477284011887302,1.051754272586588
6,deficiens,1,1,2,0.8948634629965345,1.1051365370034656,0.022354482376046127,0.8811479412798382,1.1174889146232498
7,penstemon,1,1,2,0.8948634629965345,1.1051365370034656,0.022354482376046127,0.8811479412798382,1.1174889146232498
8,gamma-glutamyltransferase,86,110,196,87.69661937366038,108.30338062633963,0.059401860840723235,0.8074438334238587,0.9806535373224436
9,integrins,42,22,64,28.635630815889105,35.3643691841109,11.28766813086769,0.0007802361930747894,1.4667042004430153
10,androsterone,3,9,12,5.369180777979207,6.6308192220207935,1.8919185365976245,0.16898568838360098,0.5587444573116249
11,intermedius,8,5,13,5.8166125094774745,7.183387490522526,1.4832199584165993,0.22327140872587098,1.3753709718439997
12,rubber,24,58,82,36.689401982857916,45.31059801714209,7.942472798619478,0.0048287805228348045,0.65413985246239
13,activator-like,0,1,1,0.44743173149826726,0.5525682685017328,0.8097311355055925,0.36819975249716796,0.0
14,cementoma,1,1,2,0.8948634629965345,1.1051365370034656,0.022354482376046127,0.8811479412798382,1.1174889146232498
15,tc,101,187,288,128.86033867150098,159.13966132849905,10.901030950134068,0.0009611075347275967,0.7837943081732516
16,interinstitutional,111,139,250,111.85793287456681,138.1420671254332,0.011908412998706843,0.9131028105913056,0.9923301561854458
17,theileriasis,15,32,47,21.02929138041856,25.97070861958144,3.128397751876366,0.07693932379318023,0.7132907965680318
18,kartagener,20,14,34,15.212678870941087,18.787321129058917,2.7264245369910602,0.098700024174426,1.314692840733235
19,dry,145,212,357,159.73312814488142,197.2668718551186,2.459285753700305,0.11683189712624784,0.9077641043158051
20,teriparatide,17,50,67,29.977926010383907,37.022073989616096,10.16770793158537,0.0014292184269892746,0.5670839268237388
21,methylurea,2,3,5,2.2371586574913365,2.762841342508664,0.04549830730726641,0.8310903823580555,0.8939911316985999
22,appendectomy,104,202,306,136.91410983846978,169.08589016153024,14.319573380066467,0.0001542526352533177,0.7596003079792025
23,aged,153095,194229,347324,155403.77871090418,191920.22128909585,62.07505341789732,3.3061326676781357e-15,0.9851433553929266
24,oncogene,289,223,512,229.08504652711284,282.9149534728872,28.35879475401272,1.0078787608152072e-07,1.261540220023903
25,ccn,5,7,12,5.369180777979207,6.6308192220207935,0.045939280911377375,0.8302862105043808,0.9312407621860416
26,tartrate-resistant,12,26,38,17.002405796934156,20.997594203065844,2.663554079296752,0.10267109113570688,0.7057824723936313
27,xenotropic,1,1,2,0.8948634629965345,1.1051365370034656,0.022354482376046127,0.8811479412798382,1.1174889146232498
28,neocortex,77,45,122,54.586671242788604,67.4133287572114,16.654828680338703,4.483602751290259e-05,1.4106007610818072
29,seborrheic,12,23,35,15.660110602439355,19.339889397560647,1.5481308026844127,0.21341159727582001,0.7662781128845141
30,alphaproteobacteria,45,40,85,38.03169717735272,46.96830282264729,2.3105873062718816,0.1284954912987551,1.1832235566599116
31,sicca,8,11,19,8.501202898467078,10.498797101532922,0.053476235155404325,0.8171211379414177,0.9410432965248419
32,o-,0,1,1,0.44743173149826726,0.5525682685017328,0.8097311355055925,0.36819975249716796,0.0
33,hymen,4,12,16,7.158907703972276,8.841092296027725,2.522558048796833,0.11222839667629972,0.5587444573116249
34,ligand-gated,1,0,1,0.44743173149826726,0.5525682685017328,1.2349778292464997,0.2664411484531368,2.2349778292464997
35,ribose-phosphate,2,0,2,0.8948634629965345,1.1051365370034656,2.4699556584929994,0.11604119817153014,2.2349778292464997
36,benzoxazoles,22,31,53,23.713881769408165,29.28611823059184,0.22416774672038303,0.6358824897724602,0.9277266461023206
37,commission,12,20,32,14.317815407944552,17.68218459205545,0.6790394254291557,0.4099176908468777,0.8381166859674374
38,reviews,202,115,317,141.8358588849507,175.1641411150493,46.18526691367709,1.075829444463587e-11,1.4241814558605455
39,retinoblastoma-like,2,0,2,0.8948634629965345,1.1051365370034656,2.4699556584929994,0.11604119817153014,2.2349778292464997
40,split-brain,1,4,5,2.2371586574913365,2.762841342508664,1.2381351994671963,0.2658307492462716,0.44699556584929995
41,caveolins,2,2,4,1.789726925993069,2.210273074006931,0.04470896475209225,0.8325400884386234,1.1174889146232498
42,pseudomyxoma,7,17,24,10.738361555958415,13.261638444041587,2.3552588247581143,0.12486116004307765,0.6518685335302291
43,high-density,3,3,6,2.6845903889896037,3.3154096110103968,0.06706344712813835,0.7956613875216593,1.1174889146232498
44,enriettii,3,0,3,1.3422951944948018,1.6577048055051984,3.7049334877394986,0.0542518336892486,2.2349778292464997
45,ryanodine,33,25,58,25.9510404268995,32.048959573100504,3.465048547248855,0.06267866763869777,1.2716253166402498
46,beta-1b,9,4,13,5.8166125094774745,7.183387490522526,3.152992487465842,0.07578785713932862,1.5472923433244996
47,tripterygium,5,16,21,9.396066361463612,11.60393363853639,3.7221722105044837,0.05369447477401354,0.5321375783920237
48,apoptosis,1852,1708,3560,1592.8569641338315,1967.1430358661687,76.29856397007671,2.438611638701962e-18,1.162690713416999
49,widowhood,19,21,40,17.89726925993069,22.102730740069312,0.12296067789881755,0.7258453181156489,1.0616144688920872
50,rounds,32,76,108,48.32262700181286,59.67737299818714,9.978003109525172,0.0015842139943535317,0.6622156531100739
51,syncope,109,147,256,114.54252326355642,141.4574767364436,0.48535818913286183,0.4860052491873026,0.9516116538588612
52,cyproheptadine,2,10,12,5.369180777979207,6.6308192220207935,3.8260854056287714,0.050460655308252875,0.3724963048744166
53,vestibular,106,248,354,158.39083295038662,195.6091670496134,31.361340812287118,2.1420382540115557e-08,0.6692306494353926
54,making,2764,2989,5753,2574.0747513095316,3178.925248690469,25.360529160008138,4.7554956533726687e-07,1.0737838901507604
55,isomerases,17,17,34,15.212678870941087,18.787321129058917,0.38002620039278445,0.5375892146774056,1.1174889146232498
56,anecdotes,13,21,34,15.212678870941087,18.787321129058917,0.5824318794301397,0.44536067747547703,0.8545503464766027
57,cyclophosphamide,399,421,820,366.89401982857913,453.10598017142087,5.084465343925279,0.024141119156242914,1.0875075047187235
58,dactinomycin,19,16,35,15.660110602439355,19.339889397560647,1.2890904870690871,0.2562156299673527,1.2132736787338139
59,electroconvulsive,63,221,284,127.0706117455079,156.92938825449212,58.46375138559155,2.0707118249626904e-14,0.49578733536101927
60,psilocybin,6,6,12,5.369180777979207,6.6308192220207935,0.1341268942562767,0.7141909304664599,1.1174889146232498
61,amaranth,0,8,8,3.579453851986138,4.420546148013862,6.47784908404474,0.010922708323773272,0.0
62,raman,124,422,546,244.29772539805393,301.7022746019461,107.20362387888669,4.017015041751868e-25,0.507577382466238
63,deet,11,12,23,10.290929824460147,12.709070175539853,0.08841742833181701,0.7661987914380002,1.068902440074413
64,micrasterias,1,0,1,0.44743173149826726,0.5525682685017328,1.2349778292464997,0.2664411484531368,2.2349778292464997
65,secretaries,0,2,2,0.8948634629965345,1.1051365370034656,1.619462271011185,0.20316678250777026,0.0
66,baculoviridae,23,23,46,20.581859648920293,25.418140351079707,0.5141530946490607,0.473346518887132,1.1174889146232498
67,osteoblasts,105,121,226,101.11957131860841,124.8804286813916,0.269487267168317,0.6036759252959055,1.038374655180896
68,paracentesis,22,48,70,31.32022120487871,38.679778795121294,5.019282936574161,0.02506654741955384,0.7024216034774713
69,thromboembolism,515,858,1373,614.3237673471209,758.6762326528791,29.061840058442773,7.010433294008088e-08,0.8383201617348488
70,rest,427,502,929,415.6640785618903,513.3359214381097,0.559480840297513,0.45446949553900806,1.0272718332489292
71,computing,82,55,137,61.29814721526262,75.7018527847374,12.652756268305703,0.0003750123900108328,1.3377239561913357
72,phycobilisomes,2,6,8,3.579453851986138,4.420546148013862,1.2612790243984164,0.26140912752246476,0.5587444573116249
73,prodromal,112,131,243,108.72591075407894,134.27408924592106,0.17842759868134211,0.6727280341533908,1.0301132381712261
74,25-hydroxyvitamin,50,29,79,35.347106788363114,43.65289321163689,10.992765292106995,0.0009146823403559112,1.414542929902848
75,herpes,267,267,534,238.92854462007472,295.07145537992534,5.96864679440432,0.01456245174710408,1.1174889146232498
76,solanacearum,14,1,15,6.711475972474009,8.288524027525991,14.3243590445213,0.00015386100551725282,2.085979307296733
77,catheterization,992,2035,3027,1354.375851245255,1672.6241487547452,175.4661526903783,4.735999732124858e-40,0.7324407025479114
78,podocytes,43,19,62,27.74076735289257,34.25923264710743,15.190112035391884,9.721111439478764e-05,1.5500652686709595
79,deformability,4,14,18,8.053771166968811,9.94622883303119,3.692608212613341,0.054654088548969214,0.4966617398325554
80,transcatheter,170,349,519,232.2170686476007,286.7829313523993,30.167478421850717,3.9629945478804905e-08,0.732073662758969
81,hypermutation,10,3,13,5.8166125094774745,7.183387490522526,5.445027934169254,0.019624101159566892,1.7192137148049997
82,propafenone,3,4,7,3.132022120487871,3.8679778795121296,0.010071233043996904,0.9200620708500007,0.9578476411056426
83,deformans,15,12,27,12.080656750453215,14.919343249546785,1.2767146330839911,0.2585107885140344,1.2416543495813888
84,ingrown,4,10,14,6.264044240975742,7.735955759024259,1.4809113441788035,0.22363198847895893,0.6385650940704284
85,retropharyngeal,6,11,17,7.606339435470543,9.393660564529458,0.6139217205323931,0.433315022516771,0.7888157044399411
86,gtpase,5,3,8,3.579453851986138,4.420546148013862,1.0202532438391032,0.3124589465325771,1.3968611432790623
87,nephrons,30,39,69,30.87278947338044,38.127210526619564,0.04465367283849289,0.8326421368601068,0.9717294909767389
88,nidulans,8,11,19,8.501202898467078,10.498797101532922,0.053476235155404325,0.8171211379414177,0.9410432965248419
89,myxomycetes,5,2,7,3.132022120487871,3.8679778795121296,2.0161957533121226,0.15562861997039334,1.596412735176071
90,neuropathies,211,321,532,238.03368115707818,293.96631884292185,5.55630426600597,0.018414247911973183,0.8864291766372395
91,multisystemic,2,2,4,1.789726925993069,2.210273074006931,0.04470896475209225,0.8325400884386234,1.1174889146232498
92,lck,8,2,10,4.474317314982673,5.525682685017328,5.027750561379834,0.024944275864622216,1.7879822633971998
93,mountaineering,18,59,77,34.45224332536658,42.547756674633426,14.218271420400438,0.00016278223806936968,0.5224623496939869
94,leprostatic,13,21,34,15.212678870941087,18.787321129058917,0.5824318794301397,0.44536067747547703,0.8545503464766027
95,coccidia,5,3,8,3.579453851986138,4.420546148013862,1.0202532438391032,0.3124589465325771,1.3968611432790623
96,metagenomics,451,212,663,296.6472379833512,366.35276201664885,145.34582443549112,1.8044952568127187e-33,1.5203242850530487
97,telenursing,3,11,14,6.264044240975742,7.735955759024259,3.0780191328139423,0.07935712259347033,0.4789238205528213
98,entomoplasmatales,1,0,1,0.44743173149826726,0.5525682685017328,1.2349778292464997,0.2664411484531368,2.2349778292464997
99,mutated,56,27,83,37.136833714356186,45.86316628564382,17.33957193133252,3.126089063389206e-05,1.5079368486482405
100,cardiotoxicity,45,68,113,50.559785659304204,62.4402143406958,1.1064325203718766,0.2928587562090589,0.8900354187264822
101,mivacurium,0,1,1,0.44743173149826726,0.5525682685017328,0.8097311355055925,0.36819975249716796,0.0
102,pneumoconiosis,15,10,25,11.185793287456681,13.81420671254332,2.353725005240868,0.12498403526806262,1.3409866975478997
103,anonyms,2,0,2,0.8948634629965345,1.1051365370034656,2.4699556584929994,0.11604119817153014,2.2349778292464997
104,epididymis,38,34,72,32.215084667875246,39.78491533212476,1.8799608066168116,0.17033860238769744,1.1795716321023193
105,neoplasia,236,253,489,218.7941167026527,270.2058832973473,2.448681861534805,0.1176236048567216,1.0786396067529118
106,formaldehyde,128,195,323,144.52044927394033,178.4795507260597,3.4176569101387253,0.06450250274879755,0.8856878084939689
107,radiology,312,908,1220,545.8667124278861,674.133287572114,181.32774812594607,2.486135474602729e-41,0.5715681005941867
108,chrysopogon,2,3,5,2.2371586574913365,2.762841342508664,0.04549830730726641,0.8310903823580555,0.8939911316985999
109,amosite,3,0,3,1.3422951944948018,1.6577048055051984,3.7049334877394986,0.0542518336892486,2.2349778292464997
110,coordination,36,137,173,77.40568954920023,95.59431045079977,40.08309219079729,2.433864934479413e-10,0.4650820916351098
111,annulus,1,1,2,0.8948634629965345,1.1051365370034656,0.022354482376046127,0.8811479412798382,1.1174889146232498
112,mycolic,4,2,6,2.6845903889896037,3.3154096110103968,1.1664283016610608,0.28013634556545497,1.4899852194976664
113,associate,1,7,8,3.579453851986138,4.420546148013862,3.3639754336275667,0.0666370223470592,0.27937222865581246
114,enterobacteriaceae,420,393,813,363.76199770809126,449.23800229190874,15.734628815234702,7.287771088786989e-05,1.1546010925996677
