,word,OA_frequency,NOA_frequency,oa_noa,expected_oa,expected_noa,chi_square,p_value,depletion_rate
0,Planarians,12,9,21,9.351774451595132,11.648225548404868,1.3519961084015781,0.24492945738868394,1.2831789370147995
1,Pinealoma,7,22,29,12.914355195059944,16.085644804940056,4.883167287246968,0.02711981166043316,0.5420324820148722
2,Sampling Studies,232,259,491,218.65339313015284,272.34660686984716,1.4687403922538833,0.2255445366152627,1.061040017164987
3,Insanity Defense,6,27,33,14.695645566792349,18.30435443320765,9.27629419303835,0.0023213860782589197,0.40828420723198167
4,Biostatistics,152,128,280,124.69032602126842,155.30967397873158,10.783501274794238,0.001024087875797358,1.2190199901640595
5,"Genome, Viral",346,248,594,264.5216202022623,329.4783797977377,45.24630493420223,1.7374804576294786e-11,1.3080216268728302
6,Naval Medicine,27,18,45,20.039516681989568,24.960483318010432,4.358640744254337,0.03682167415716436,1.3473378838655394
7,Trichophytin,0,1,1,0.4453225929331015,0.5546774070668985,0.8028497055395517,0.3702427178627814,0.0
8,Phobic Disorders,144,242,386,171.89452087217717,214.10547912782283,8.160848242516437,0.004280434687443857,0.8377230366003354
9,Atomoxetine Hydrochloride,24,53,77,34.289839655848816,42.710160344151184,5.5668726152145265,0.018303423624461877,0.6999157838262542
10,Open Reading Frames,251,229,480,213.7548446078887,266.24515539211126,11.699926619210508,0.0006250256267065571,1.1742423918411473
11,Clinical Chemistry Tests,15,23,38,16.922258531457857,21.077741468542143,0.39366317578947674,0.5303801386482137,0.886406502543118
12,Patient Positioning,275,601,876,390.1025914093969,485.8974085906031,61.22811522390862,5.083044695901925e-15,0.70494276648216
13,Hallucinogens,62,62,124,55.22000152370459,68.77999847629542,1.5007982047789727,0.2205485859207824,1.1227815698879495
14,Blood Coagulation Factor Inhibitors,8,17,25,11.133064823327537,13.866935176672463,1.5895842338635182,0.20738554525404965,0.7185802047282878
15,Trichomonas Infections,15,27,42,18.703548903190264,23.296451096809736,1.322122423521678,0.25021149699843065,0.8019868356342497
16,Forehead,20,72,92,40.96967854984534,51.03032145015466,19.349979667689084,1.0882040418696161e-05,0.4881658999512824
17,Diethylpropion,1,1,2,0.890645185866203,1.109354814133797,0.024206422657725362,0.8763608321095353,1.1227815698879495
18,Orientation,366,312,678,301.9287180086428,376.0712819913572,24.512179480623082,7.384159263109292e-07,1.2122066506754852
19,Xylem,68,42,110,48.98548522264117,61.01451477735883,13.306462171777511,0.000264492950058936,1.3881663045887376
20,Pimpinella,1,2,3,1.3359677787993045,1.6640322212006955,0.15232065397803524,0.6963274499544883,0.7485210465919663
21,Area Health Education Centers,1,0,1,0.4453225929331015,0.5546774070668985,1.245563139775899,0.26440158855823453,2.245563139775899
22,Bile Pigments,1,0,1,0.4453225929331015,0.5546774070668985,1.245563139775899,0.26440158855823453,2.245563139775899
23,Cubozoa,7,2,9,4.007903336397914,4.992096663602086,4.027110296797472,0.04477457096189828,1.7465491087145881
24,Phenylethanolamine N-Methyltransferase,1,1,2,0.890645185866203,1.109354814133797,0.024206422657725362,0.8763608321095353,1.1227815698879495
25,Behavioral Symptoms,66,80,146,65.01709856823283,80.98290143176717,0.02678871449963665,0.8699889018670114,1.0151175837343105
26,Balsams,0,2,2,0.890645185866203,1.109354814133797,1.6056994110791034,0.20509738754846735,0.0
27,Vascular Endothelial Growth Factor Receptor-1,64,42,106,47.204194850908756,58.795805149091244,10.77408963296087,0.0010293082920589892,1.355811707034505
28,Zygote Intrafallopian Transfer,1,1,2,0.890645185866203,1.109354814133797,0.024206422657725362,0.8763608321095353,1.1227815698879495
29,Shiga Toxins,10,4,14,6.234516301063421,7.765483698936579,4.100136376158767,0.042879754655444004,1.6039736712684993
30,AIDS-Associated Nephropathy,10,3,13,5.78919370813032,7.21080629186968,5.521689332880451,0.018782112548825062,1.7273562613660762
31,"Contraceptives, Oral, Synthetic",5,9,14,6.234516301063421,7.765483698936579,0.4407074745072256,0.5067811850817099,0.8019868356342497
32,Proprotein Convertase 9,62,83,145,64.57177597529972,80.42822402470028,0.1846643500726028,0.6673950399376134,0.9601718252834879
33,Chagas Disease,210,87,297,132.26081010113114,164.73918989886886,82.3774541594142,1.1242894830363051e-19,1.587771917013262
34,"Dibenz(b,f)(1,4)oxazepine-10(11H)-carboxylic acid, 8-chloro-, 2-acetylhydrazide",0,1,1,0.4453225929331015,0.5546774070668985,0.8028497055395517,0.3702427178627814,0.0
35,Personality Disorders,140,385,525,233.79436128987828,291.2056387101217,67.83892408230031,1.774123734098786e-16,0.598816837273573
36,Sorbic Acid,7,22,29,12.914355195059944,16.085644804940056,4.883167287246968,0.02711981166043316,0.5420324820148722
37,"Leprosy, Tuberculoid",3,3,6,2.671935557598609,3.328064442401391,0.07261926797317608,0.7875606198283936,1.1227815698879495
38,Alkyl and Aryl Transferases,28,17,45,20.039516681989568,24.960483318010432,5.7010014774496724,0.016955235819995446,1.3972392869716705
39,Colombia,226,251,477,212.4188768290894,264.5811231709106,1.5654449180107242,0.2108697570862026,1.0639355756590214
40,Oncology Nursing,65,173,238,105.98677711807815,132.01322288192185,28.57560127162359,9.011049158929268e-08,0.6132840507791321
41,"Acids, Carbocyclic",0,1,1,0.4453225929331015,0.5546774070668985,0.8028497055395517,0.3702427178627814,0.0
42,"Coronary Artery Bypass, Off-Pump",76,81,157,69.91564709049693,87.08435290950307,0.9545835247808383,0.32855533822347005,1.0870241950507538
43,Synaptotagmins,3,3,6,2.671935557598609,3.328064442401391,0.07261926797317608,0.7875606198283936,1.1227815698879495
44,Cultural Diversity,106,207,313,139.38597158806078,173.61402841193922,14.416787447879408,0.00014649057720905788,0.7604782518090905
45,B-Lymphocytes,440,257,697,310.38984727437173,386.61015272562827,97.57309047603431,5.190453922842618e-23,1.4175721398872245
46,Lichens,36,59,95,42.30564632864464,52.69435367135536,1.6944174119236264,0.19301967919252744,0.8509502424413934
47,Pandanaceae,0,2,2,0.890645185866203,1.109354814133797,1.6056994110791034,0.20509738754846735,0.0
48,Petroselinum,0,4,4,1.781290371732406,2.218709628267594,3.211398822158207,0.07312694045586916,0.0
49,Salivary alpha-Amylases,18,35,53,23.602097425454378,29.397902574545622,2.397232954214001,0.12155007947200594,0.7626440852069091
50,Common Cold,23,16,39,17.36758112439096,21.63241887560904,3.2931391169121995,0.06956989683126967,1.324306467047325
51,Caveolin 3,1,3,4,1.781290371732406,2.218709628267594,0.617802622407966,0.4318650191168317,0.5613907849439748
52,Value-Based Purchasing,28,32,60,26.71935557598609,33.28064442401391,0.11066000094676276,0.7393939817128163,1.047929465228753
53,"Education, Distance",57,113,170,75.70484079862726,94.29515920137274,8.331897242155483,0.0038954953240047867,0.7529241115719191
54,Chickenpox Vaccine,36,27,63,28.055323354785394,34.94467664521461,4.055988325204737,0.04401494689732864,1.2831789370147995
55,Rhodamine 123,4,6,10,4.4532259293310155,5.5467740706689845,0.08315996358382469,0.7730599373245957,0.8982252559103596
56,Dark Adaptation,46,24,70,31.172581505317105,38.827418494682895,12.71504334509406,0.0003627258835843212,1.4756557775670194
57,Chelating Agents,65,161,226,100.64290600288093,125.35709399711907,22.75739594178713,1.837954189775365e-06,0.6458478056877586
58,Auditory Fatigue,4,5,9,4.007903336397914,4.992096663602086,2.8097211464083825e-05,0.9957706888456469,0.9980280621226217
59,Borrelia,14,24,38,16.922258531457857,21.077741468542143,0.9097843628120519,0.34017164007905965,0.8273127357069101
60,Free Association,1,3,4,1.781290371732406,2.218709628267594,0.617802622407966,0.4318650191168317,0.5613907849439748
61,Alcohol Withdrawal Delirium,10,23,33,14.695645566792349,18.30435443320765,2.7049638850912956,0.10003634735830598,0.6804736787199694
62,"Adaptor Proteins, Signal Transducing",318,239,557,248.04468426373754,308.9553157362625,35.56894968908932,2.4618050019892696e-09,1.2820270708235835
63,Sexually Transmitted Diseases,410,306,716,318.8509765401007,397.1490234598993,46.97597601149451,7.1862197143407716e-12,1.2858671610448584
64,Moraxella (Branhamella) catarrhalis,15,14,29,12.914355195059944,16.085644804940056,0.6072499563906693,0.43582513300409864,1.1614981757461547
65,Adams-Stokes Syndrome,1,0,1,0.4453225929331015,0.5546774070668985,1.245563139775899,0.26440158855823453,2.245563139775899
66,Human Experimentation,34,51,85,37.85242039931363,47.14757960068637,0.7068596904625092,0.40048829387208773,0.8982252559103596
67,"Cations, Divalent",28,98,126,56.11064670957079,69.88935329042921,25.389603758620307,4.684358141309012e-07,0.49901403106131087
68,Thymus Extracts,0,1,1,0.4453225929331015,0.5546774070668985,0.8028497055395517,0.3702427178627814,0.0
69,Invertebrate Hormones,0,2,2,0.890645185866203,1.109354814133797,1.6056994110791034,0.20509738754846735,0.0
70,Venoms,69,53,122,54.329356337838384,67.67064366216162,7.142056814210298,0.007529674783602514,1.2700316118404673
71,Strategic Stockpile,9,6,15,6.679838893996522,8.320161106003477,1.4528802480847787,0.22806635407698783,1.3473378838655394
72,Eubacterium,6,3,9,4.007903336397914,4.992096663602086,1.7851022646431474,0.18152404382941073,1.4970420931839326
73,Matrix Metalloproteinase Inhibitors,22,23,45,20.039516681989568,24.960483318010432,0.34577897515462164,0.5565123309994504,1.0978308683348839
74,Glutamates,40,56,96,42.750968921577744,53.249031078422256,0.3191427105570056,0.5721233005111189,0.935651308239958
75,"Ectodermal Dysplasia 1, Anhidrotic",1,3,4,1.781290371732406,2.218709628267594,0.617802622407966,0.4318650191168317,0.5613907849439748
76,Ice Cream,2,6,8,3.562580743464812,4.437419256535188,1.235605244815932,0.2663197144020472,0.5613907849439748
77,Age Determination by Skeleton,33,81,114,50.76677559437357,63.23322440562643,11.20978225667502,0.0008136726647822356,0.6500314351982865
78,Adult Stem Cells,40,14,54,24.04742001838748,29.95257998161252,19.07888085050353,1.2542518496537674e-05,1.663380103537703
79,Planococcus Bacteria,0,4,4,1.781290371732406,2.218709628267594,3.211398822158207,0.07312694045586916,0.0
80,Cyclophosphamide,399,421,820,365.1645262051432,454.8354737948568,5.652173262193404,0.017433753025348477,1.092658161915346
81,Thymopentin,0,2,2,0.890645185866203,1.109354814133797,1.6056994110791034,0.20509738754846735,0.0
82,Reticuloendotheliosis virus,1,2,3,1.3359677787993045,1.6640322212006955,0.15232065397803524,0.6963274499544883,0.7485210465919663
83,Immunoproteins,4,1,5,2.2266129646655077,2.7733870353344923,2.5463719883907867,0.11054784502486541,1.7964505118207192
84,"Diastasis, Bone",0,1,1,0.4453225929331015,0.5546774070668985,0.8028497055395517,0.3702427178627814,0.0
85,Quercus,83,91,174,77.48613117035966,96.51386882964034,0.7073728821218175,0.40031733332604946,1.0711594287436759
86,Jaundice,28,41,69,30.727258912384002,38.272741087616,0.43640371878682893,0.5088633541240066,0.9112430132423939
87,"Resins, Plant",13,13,26,11.57838741626064,14.42161258373936,0.3146834945504295,0.5748203257922639,1.1227815698879495
88,Ovulation Induction,133,200,333,148.2924234467228,184.7075765532772,2.843106910143983,0.09176662104761767,0.8968765693399237
89,"Purpura, Thrombotic Thrombocytopenic",30,39,69,30.727258912384002,38.272741087616,0.031032288753148375,0.8601683714329065,0.9763317999025648
90,Hypokinesia,11,18,29,12.914355195059944,16.085644804940056,0.5116015347482252,0.47444638463026867,0.8517653288805134
91,"Orthodontics, Interceptive",9,4,13,5.78919370813032,7.21080629186968,3.2104776623446645,0.07316812011049705,1.5546206352294685
92,Propafenone,3,4,7,3.1172581505317103,3.8827418494682897,0.00795193523084544,0.9289439267891204,0.9623842027610995
93,Spirituality,150,306,456,203.06710237749428,252.93289762250572,25.00176682644559,5.727780299480364e-07,0.7386720854525984
94,"Education, Nursing, Associate",1,7,8,3.562580743464812,4.437419256535188,3.3231498389017413,0.06831083376655145,0.2806953924719874
