,Economy,Region,income_group,gdp,loggdp,oa_frequency,noa_frequency,overall_frequency,oa_status,log_frequency
0,United States,North America,High income,56443.81724,4.751616376985374,99356,89114,188470,52.71714331193294,17.52397537301992
1,Netherlands,Europe & Central Asia,High income,44746.33405,4.650757460499472,10576,10483,21059,50.220808205517834,14.362149310248597
2,Sweden,Europe & Central Asia,High income,50812.19086,4.705967920710255,6338,5777,12115,52.315311597193556,13.56450678433871
3,Switzerland,Europe & Central Asia,High income,82016.02131,4.9138986973457195,6535,5659,12194,53.591930457602096,13.573883830656468
4,Denmark,Europe & Central Asia,High income,53012.99658,4.724382353582715,4385,4521,8906,49.23646979564339,13.120561896442904
5,France,Europe & Central Asia,High income,36613.37522,4.563639766353658,10258,13939,24197,42.39368516758276,14.562540569470205
6,Germany,Europe & Central Asia,High income,41323.9215,4.616201527876617,14792,20810,35602,41.54822762766137,15.11967066874771
7,Spain,Europe & Central Asia,High income,25789.51955,4.411443251454439,8181,12328,20509,39.88980447608367,14.323969528597221
8,United Kingdom,Europe & Central Asia,High income,44305.55463,4.646458177553378,31574,21880,53454,59.06760953343061,15.706010289408077
9,Finland,Europe & Central Asia,High income,42424.22081,4.627613874536562,2313,2593,4906,47.14635140644109,12.260331518557601
10,Norway,Europe & Central Asia,High income,74498.13764,4.87214541606667,3266,2517,5783,56.47587757219436,12.49760238678349
11,Japan,East Asia & Pacific,High income,34567.74568,4.538671058146411,10697,14305,25002,42.784577233821295,14.609755885423706
12,Peru,Latin America & Caribbean,Upper middle income,6053.112415,3.7819787394603526,437,201,638,68.49529780564264,9.31741261376487
13,China,East Asia & Pacific,Upper middle income,8069.213024,3.9068311808186977,21040,30117,51157,41.12829133842876,15.642644042282953
14,Turkey,Europe & Central Asia,Upper middle income,10984.80288,4.04079226800242,2600,6500,9100,28.57142857142857,13.151650829973422
15,Ghana,Sub-Saharan Africa,Lower middle income,1783.061087,3.251166222195299,437,162,599,72.95492487479132,9.226412192788786
16,Thailand,East Asia & Pacific,Upper middle income,5846.394608,3.7668881251324655,1026,1339,2365,43.38266384778013,11.207624468226758
17,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,4862.299729,3.686841726748904,1196,3370,4566,26.19360490582567,12.156715144224702
18,"Hong Kong SAR, China",East Asia & Pacific,High income,42431.88828,4.627692358925156,1793,1948,3741,47.928361400695,11.869208250550827
19,Australia,East Asia & Pacific,High income,56561.412379999994,4.752520245576359,11780,15758,27538,42.77725325005447,14.749136164336134
20,Canada,North America,High income,43525.370189999994,4.6387424735467615,13120,16327,29447,44.55462356097396,14.845833042278075
21,Bulgaria,Europe & Central Asia,Upper middle income,6993.783483,3.844712183078477,147,223,370,39.729729729729726,8.531381460516313
22,Croatia,Europe & Central Asia,Upper middle income,11773.264659999999,4.070896906957949,357,509,866,41.224018475750576,9.758223214726724
23,India,South Asia,Lower middle income,1606.0382849999999,3.205755893848054,3849,8181,12030,31.995012468827934,13.55434902206344
24,Indonesia,East Asia & Pacific,Lower middle income,3334.549075,3.5230371133710654,294,253,547,53.74771480804388,9.095397022792557
25,Nigeria,Sub-Saharan Africa,Lower middle income,2729.7627780000003,3.4361249075968128,608,600,1208,50.331125827814574,10.238404739325079
26,Portugal,Europe & Central Asia,High income,19252.63495,4.2844901762306495,2016,2284,4300,46.883720930232556,12.070120944476823
27,Serbia,Europe & Central Asia,Upper middle income,5237.255334,3.7191037477498843,298,685,983,30.31536113936928,9.94104760634058
28,Saudi Arabia,Middle East & North Africa,High income,20732.861719999997,4.316659251125604,1231,1322,2553,48.2177830003917,11.31797782240712
29,Lao PDR,East Asia & Pacific,Lower middle income,2159.433152,3.334339764453497,71,33,104,68.26923076923077,6.700439718141092
30,"Korea, Rep.",East Asia & Pacific,High income,27105.076230000002,4.433050633023061,5930,9430,15360,38.60677083333333,13.906890595608518
31,Belgium,Europe & Central Asia,High income,40361.15419,4.6059635770688585,4585,4500,9085,50.46780407264721,13.149270799121478
32,Taiwan,East Asia & Pacific,High income,22374.0,4.34974363374495,3453,4219,7672,45.00782064650678,12.905387005018131
33,Argentina,Latin America & Caribbean,Upper middle income,13698.293440000001,4.136666465276403,965,1458,2423,39.826661163846474,11.242578689451346
34,Bahrain,Middle East & North Africa,High income,22688.878240000002,4.355813024478104,51,42,93,54.83870967741935,6.539158811108031
35,Brazil,Latin America & Caribbean,Upper middle income,8750.222995999999,3.9420191209878257,8376,7787,16163,51.82206273587824,13.98040737983172
36,Italy,Europe & Central Asia,High income,30180.32151,4.479723861989443,9812,15652,25464,38.532830662896636,14.636171441635922
37,South Africa,Sub-Saharan Africa,Upper middle income,5742.9878,3.7591378936974458,2582,1540,4122,62.63949539058709,12.009128789539256
38,Israel,Middle East & North Africa,High income,35690.96308,4.552558267055868,1935,3513,5448,35.51762114537445,12.411510988012072
39,Slovak Republic,Europe & Central Asia,High income,16132.86031,4.207711373385382,196,359,555,35.31531531531532,9.116343961237469
40,New Zealand,East Asia & Pacific,High income,38649.3785,4.587142514653032,1517,2295,3812,39.795383001049316,11.896332403909941
41,Poland,Europe & Central Asia,High income,12556.35575,4.098863611748715,2648,3234,5882,45.01870112206732,12.522091068887065
42,Colombia,Latin America & Caribbean,Upper middle income,6085.209979,3.7842755687859078,564,630,1194,47.23618090452261,10.221587121264806
43,Singapore,East Asia & Pacific,High income,54940.85814,4.739895438531141,1436,1893,3329,43.13607689996996,11.700873155140263
44,Chile,Latin America & Caribbean,High income,13736.635690000001,4.137880380454483,818,925,1743,46.930579460699946,10.767356854125685
45,Russian Federation,Europe & Central Asia,Upper middle income,9346.61636,3.9706544170607074,1537,1502,3039,50.57584731819678,11.569380959522295
46,Lithuania,Europe & Central Asia,High income,14289.12057,4.155005500774941,194,245,439,44.19134396355353,8.778077129535358
47,Latvia,Europe & Central Asia,High income,13639.694119999998,4.13480463106198,76,83,159,47.79874213836478,7.312882955284356
48,Ireland,Europe & Central Asia,High income,61807.67037000001,4.791042374646334,1746,2037,3783,46.15384615384615,11.885315061049376
49,Oman,Middle East & North Africa,High income,16406.71162,4.215021544587665,73,123,196,37.244897959183675,7.614709844115208
50,Philippines,East Asia & Pacific,Lower middle income,2878.33837,3.459141847135625,285,182,467,61.02783725910065,8.867278739709661
51,Mexico,Latin America & Caribbean,Upper middle income,9298.242878000001,3.968400886135898,1276,1731,3007,42.43431992018623,11.554109152574004
52,Austria,Europe & Central Asia,High income,44206.78428,4.645488924309962,2576,2992,5568,46.264367816091955,12.442943495848729
53,"Venezuela, RB",Latin America & Caribbean,Upper middle income,,,75,116,191,39.26701570680628,7.577428828035749
54,Greece,Europe & Central Asia,High income,18070.77678,4.256976821294576,1456,2424,3880,37.52577319587629,11.92184093707449
55,Malaysia,East Asia & Pacific,Upper middle income,9655.137377,3.984758457467934,1018,1215,2233,45.58889386475594,11.124767535822473
56,Czech Republic,Europe & Central Asia,High income,17715.61685,4.2483562788756375,1228,1588,2816,43.60795454545455,11.459431618637296
57,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,3547.7130119999997,3.5499484808480117,766,1917,2683,28.550130450987698,11.389631339260522
58,Qatar,Middle East & North Africa,High income,65177.22879,4.8140958911583285,277,317,594,46.63299663299663,9.214319120800766
59,Zimbabwe,Sub-Saharan Africa,Low income,1265.294413,3.1021915903849364,155,48,203,76.35467980295566,7.6653359171851765
60,Syrian Arab Republic,Middle East & North Africa,Lower middle income,,,31,53,84,36.904761904761905,6.392317422778761
61,Slovenia,Europe & Central Asia,High income,20873.16111,4.3195882252355275,322,558,880,36.59090909090909,9.78135971352466
62,Morocco,Middle East & North Africa,Lower middle income,2847.285569,3.4544310269718017,286,250,536,53.35820895522389,9.066089190457772
63,Ethiopia,Sub-Saharan Africa,Low income,645.4650067000001,2.8098727023591503,519,162,681,76.2114537444934,9.411510988012072
64,Kosovo,Europe & Central Asia,Lower middle income,3574.5433329999996,3.553220566241615,13,7,20,65.0,4.321928094887363
65,Bhutan,South Asia,Lower middle income,2616.010343,3.4176394567389825,13,12,25,52.0,4.643856189774724
66,Uganda,Sub-Saharan Africa,Low income,675.1211397000001,2.829381707027955,673,162,835,80.59880239520957,9.705632387361415
67,Tunisia,Middle East & North Africa,Lower middle income,3827.729834,3.5829412771341667,249,620,869,28.6536248561565,9.7632123668144
68,United Arab Emirates,Middle East & North Africa,High income,39122.04971,4.592421600574221,175,286,461,37.960954446854664,8.848622940429339
69,Jordan,Middle East & North Africa,Lower middle income,4096.099275,3.6123704738618696,154,331,485,31.752577319587626,8.92184093707449
70,Romania,Europe & Central Asia,Upper middle income,8977.498544,3.95315534336282,445,590,1035,42.99516908212561,10.015415052386688
71,Pakistan,South Asia,Lower middle income,1428.637628,3.154922084552038,531,829,1360,39.044117647058826,10.409390936137703
72,Cyprus,Europe & Central Asia,High income,23212.2247,4.365716765989415,138,217,355,38.87323943661972,8.471675214392045
73,Ukraine,Europe & Central Asia,Lower middle income,2124.662666,3.3272899866572607,136,178,314,43.31210191082803,8.294620748891626
74,Kuwait,Middle East & North Africa,High income,29109.06874,4.464028311672112,122,154,276,44.20289855072464,8.108524456778168
75,"Yemen, Rep.",Middle East & North Africa,Lower middle income,1693.9078149999998,3.2288897716817075,28,40,68,41.17647058823529,6.087462841250339
76,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income,4584.242547999999,3.6612675876834384,80,43,123,65.04065040650406,6.94251450533924
77,Lebanon,Middle East & North Africa,Upper middle income,8529.513659999999,3.9309242690573485,402,389,791,50.821744627054365,9.627533884472792
78,Angola,Sub-Saharan Africa,Lower middle income,4170.730358,3.6202121131692415,24,12,36,66.66666666666666,5.169925001442312
79,Kenya,Sub-Saharan Africa,Lower middle income,1355.0554710000001,3.131957073997218,822,246,1068,76.96629213483146,10.060695931687555
80,Iraq,Middle East & North Africa,Upper middle income,4914.727611,3.691499452927511,59,71,130,45.38461538461539,7.022367813028454
81,"Bahamas, The",Latin America & Caribbean,High income,30483.8201,4.484069389977064,7,19,26,26.923076923076923,4.700439718141092
82,Panama,Latin America & Caribbean,Upper middle income,13627.69475,4.134422397138626,100,60,160,62.5,7.321928094887363
83,Puerto Rico,Latin America & Caribbean,High income,29763.95963,4.473690706815653,155,70,225,68.88888888888889,7.813781191217037
84,Albania,Europe & Central Asia,Upper middle income,3952.830781,3.596908222779356,45,44,89,50.56179775280899,6.475733430966398
85,Uruguay,Latin America & Caribbean,High income,15524.84247,4.191027202100995,122,188,310,39.35483870967742,8.276124405274238
