,Economy,Region,income_group,gdp,loggdp,oa_frequency,noa_frequency,overall_frequency,oa_status,log_frequency
0,Netherlands,Europe & Central Asia,High income,44746.33405,4.65075746,6361,4488,10849,58.63213199,13.40527445
1,Sweden,Europe & Central Asia,High income,50812.19086,4.705967921,4116,2764,6880,59.8255814,12.74819285
2,Denmark,Europe & Central Asia,High income,53012.99658,4.724382354,2865,1959,4824,59.39054726,12.23601419
3,France,Europe & Central Asia,High income,36613.37522,4.563639766,6263,4788,11051,56.6736042,13.4318893
4,Germany,Europe & Central Asia,High income,41323.9215,4.616201528,9039,7224,16263,55.58015126,13.98930579
5,Spain,Europe & Central Asia,High income,25789.51955,4.411443251,4551,3901,8452,53.84524373,13.04507705
6,United Kingdom,Europe & Central Asia,High income,44305.55463,4.646458178,16797,9188,25985,64.64113912,14.66539144
7,United States,North America,High income,56443.81724,4.751616377,32533,21730,54263,59.95429667,15.72768119
8,Peru,Latin America & Caribbean,Upper middle income,6053.112415,3.781978739,387,159,546,70.87912088,9.092757141
9,China,East Asia & Pacific,Upper middle income,8069.213024,3.906831181,6937,5853,12790,54.23768569,13.64272864
10,Thailand,East Asia & Pacific,Upper middle income,5846.394608,3.766888125,698,607,1305,53.48659004,10.34983409
11,"Hong Kong SAR, China",East Asia & Pacific,High income,42431.88828,4.627692359,1107,1000,2107,52.5391552,11.0409746
12,Australia,East Asia & Pacific,High income,56561.41238,4.752520246,6748,5547,12295,54.88409923,13.58578411
13,Bulgaria,Europe & Central Asia,Upper middle income,6993.783483,3.844712183,117,124,241,48.54771784,7.912889336
14,Croatia,Europe & Central Asia,Upper middle income,11773.26466,4.070896907,234,203,437,53.54691076,8.77148947
15,India,South Asia,Lower middle income,1606.038285,3.205755894,1460,1515,2975,49.07563025,11.53867395
16,Indonesia,East Asia & Pacific,Lower middle income,3334.549075,3.523037113,256,193,449,57.0155902,8.810571635
17,"Iran, Islamic Rep.",Middle East & North Africa,Upper middle income,4862.299729,3.686841727,395,693,1088,36.30514706,10.08746284
18,Nigeria,Sub-Saharan Africa,Lower middle income,2729.762778,3.436124908,349,213,562,62.09964413,9.13442632
19,Portugal,Europe & Central Asia,High income,19252.63495,4.284490176,1235,928,2163,57.09662506,11.07881795
20,Serbia,Europe & Central Asia,Upper middle income,5237.255334,3.719103748,192,245,437,43.93592677,8.77148947
21,Turkey,Europe & Central Asia,Upper middle income,10984.80288,4.040792268,572,754,1326,43.1372549,10.37286506
22,Canada,North America,High income,43525.37019,4.638742474,7766,6289,14055,55.25435788,13.77879583
23,Saudi Arabia,Middle East & North Africa,High income,20732.86172,4.316659251,820,918,1738,47.18066743,10.76321237
24,Japan,East Asia & Pacific,High income,34567.74568,4.538671058,2920,2453,5373,54.34580309,12.39151212
25,Lao PDR,East Asia & Pacific,Lower middle income,2159.433152,3.334339764,68,32,100,68,6.64385619
26,Belgium,Europe & Central Asia,High income,40361.15419,4.605963577,3352,2489,5841,57.38743366,12.51199967
27,Argentina,Latin America & Caribbean,Upper middle income,13698.29344,4.136666465,620,651,1271,48.7804878,10.31174832
28,Bahrain,Middle East & North Africa,High income,22688.87824,4.355813024,27,30,57,47.36842105,5.832890014
29,Brazil,Latin America & Caribbean,Upper middle income,8750.222996,3.942019121,2574,2439,5013,51.3464991,12.29145852
30,Italy,Europe & Central Asia,High income,30180.32151,4.479723862,5668,5317,10985,51.59763314,13.42324725
31,Finland,Europe & Central Asia,High income,42424.22081,4.627613875,1536,1079,2615,58.73804971,11.35259523
32,Slovak Republic,Europe & Central Asia,High income,16132.86031,4.207711373,153,182,335,45.67164179,8.388017285
33,New Zealand,East Asia & Pacific,High income,38649.3785,4.587142515,1041,987,2028,51.33136095,10.98584194
34,Norway,Europe & Central Asia,High income,74498.13764,4.872145416,2048,1265,3313,61.81708421,11.69392249
35,Switzerland,Europe & Central Asia,High income,82016.02131,4.913898697,4600,3240,7840,58.67346939,12.93663794
36,Poland,Europe & Central Asia,High income,12556.35575,4.098863612,1068,1027,2095,50.97852029,11.03273453
37,Lithuania,Europe & Central Asia,High income,14289.12057,4.155005501,121,124,245,49.3877551,7.936637939
38,Singapore,East Asia & Pacific,High income,54940.85814,4.739895439,989,906,1895,52.18997361,10.88798213
39,Oman,Middle East & North Africa,High income,16406.71162,4.215021545,57,80,137,41.60583942,7.098032083
40,Philippines,East Asia & Pacific,Lower middle income,2878.33837,3.459141847,239,135,374,63.90374332,8.54689446
41,Israel,Middle East & North Africa,High income,35690.96308,4.552558267,1279,1140,2419,52.87308805,11.24019505
42,Taiwan,East Asia & Pacific,High income,22374,4.349743634,1041,925,1966,52.95015259,10.94104761
43,"Korea, Rep.",East Asia & Pacific,High income,27105.07623,4.433050633,1689,1609,3298,51.21285628,11.68737568
44,"Venezuela, RB",Latin America & Caribbean,Upper middle income,,,59,75,134,44.02985075,7.06608919
45,Austria,Europe & Central Asia,High income,44206.78428,4.645488924,1839,1623,3462,53.11958406,11.75739001
46,South Africa,Sub-Saharan Africa,Upper middle income,5742.9878,3.759137894,1711,721,2432,70.35361842,11.24792751
47,Malaysia,East Asia & Pacific,Upper middle income,9655.137377,3.984758457,609,569,1178,51.69779287,10.20212382
48,"Egypt, Arab Rep.",Middle East & North Africa,Lower middle income,3547.713012,3.549948481,489,703,1192,41.02348993,10.21916852
49,Qatar,Middle East & North Africa,High income,65177.22879,4.814095891,240,240,480,50,8.906890596
50,Zimbabwe,Sub-Saharan Africa,Low income,1265.294413,3.10219159,131,31,162,80.86419753,7.339850003
51,Slovenia,Europe & Central Asia,High income,20873.16111,4.319588225,237,280,517,45.84139265,9.01402047
52,Ireland,Europe & Central Asia,High income,61807.67037,4.791042375,1101,774,1875,58.72,10.87267488
53,Morocco,Middle East & North Africa,Lower middle income,2847.285569,3.454431027,86,108,194,44.32989691,7.599912842
54,Ethiopia,Sub-Saharan Africa,Low income,645.4650067,2.809872702,278,119,397,70.02518892,8.632995197
55,Russian Federation,Europe & Central Asia,Upper middle income,9346.61636,3.970654417,687,635,1322,51.9667171,10.36850646
56,Kosovo,Europe & Central Asia,Lower middle income,3574.543333,3.553220566,9,5,14,64.28571429,3.807354922
57,Greece,Europe & Central Asia,High income,18070.77678,4.256976821,1012,934,1946,52.004111,10.92629599
58,Bhutan,South Asia,Lower middle income,2616.010343,3.417639457,11,11,22,50,4.459431619
59,Uganda,Sub-Saharan Africa,Low income,675.1211397,2.829381707,571,135,706,80.87818697,9.463524373
60,Tunisia,Middle East & North Africa,Lower middle income,3827.729834,3.582941277,120,235,355,33.8028169,8.471675214
61,United Arab Emirates,Middle East & North Africa,High income,39122.04971,4.592421601,133,185,318,41.82389937,8.312882955
62,Romania,Europe & Central Asia,Upper middle income,8977.498544,3.953155343,294,329,623,47.19101124,9.283088353
63,Cyprus,Europe & Central Asia,High income,23212.2247,4.365716766,116,152,268,43.28358209,8.06608919
64,Ukraine,Europe & Central Asia,Lower middle income,2124.662666,3.327289987,115,132,247,46.55870445,7.948367232
65,Kuwait,Middle East & North Africa,High income,29109.06874,4.464028312,78,89,167,46.70658683,7.383704292
66,"Yemen, Rep.",Middle East & North Africa,Lower middle income,1693.907815,3.228889772,23,34,57,40.35087719,5.832890014
